modelo;c_index_treino_medio;c_index_teste_medio;dp_teste;gap_medio
CoxPH;0.7492181954619783;0.7143600313663578;0.0469567692954584;0.03485816409562046
GBSA;0.7533768343862434;0.7101003166463765;0.034695549293971624;0.04327651773986696
Weibull AFT;0.7741479871543254;0.6984748824891482;0.045983261051243014;0.0756731046651773
RSF;0.8096562393600015;0.6982362090232332;0.041912453417281476;0.11142003033676826
DeepSurv;0.7811363654351771;0.6737557699458299;0.030386149271331424;0.10738059548934709
DeepHit;0.6381930617455709;0.5783259866831527;0.06362914521575566;0.05986707506241803
