coorte;modelo;fold;c_index_train;c_index_test;gap;n_genes_fold;genes_fold;hiperparametros_fold;n_baixa_variancia;n_clin_baixa_variancia;n_colinearidade;n_clin_colinearidade
LUAD;DeepSurv;3;0.5402429764616553;0.5387473460721869;0.0014956303894684275;25;DKK1, SEMA4B, CCR6, HMMR, CHEK1, SEMA3C, GPI, KRAS, SCG2, CDK1, BTK, CCL20, DDIT4, PPIA, AKR1A1, S100A10, PIM2, TNFRSF11A, FGFR2, IKBKB, MIF, MET, PSME3, RB1, EGFR;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";18;18;15;15
LUAD;DeepSurv;4;0.5253767974576005;0.3701086956521739;0.15526810180542655;22;DKK1, HMMR, CCR6, CDK1, CHEK1, AKR1A1, BTK, GPI, SEMA3C, PSME3, DDIT4, PIM2, KRAS, PIK3CA, PPIA, SEMA4B, IKBKB, FGFR2, CCL20, S100A10, MIF, AGRN;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";17;17;17;17
LUAD;DeepSurv;5;0.52264108855677;0.37551440329218105;0.147126685264589;17;DKK1, CHEK1, HMMR, CDK1, CCR6, GPI, LTBR, BTK, MIF, CCL20, IKBKB, FGFR2, PPIA, SEMA4B, AKR1A1, S100A10, KRAS;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";17;17;16;16
LUAD;GBSA;1;0.7291552783047687;0.6812313803376365;0.047923897967132145;19;DKK1, CHEK1, HMMR, CDK1, CCR6, BTK, DDIT4, PSME3, KRAS, AKR1A1, GPI, LTBR, SEMA3C, PIM2, S100A10, PPIA, MET, SEMA4B, PIK3CA;"n_estimators=150; learning_rate=0.01; max_depth=1; subsample=0.7";19;19;14;14
LUAD;GBSA;2;0.8107396939869408;0.6713118692936089;0.13942782469333193;23;DKK1, HMMR, CHEK1, CDK1, GPI, S100A10, CCR6, SEMA3C, SEMA4B, DDIT4, IKBKB, PPIA, BTK, AKR1A1, PSME3, PIM2, FGFR2, MIF, MET, CCL20, RBM10, KRAS, AGRN;"n_estimators=150; learning_rate=0.01; max_depth=2; subsample=0.7";20;20;14;14
LUAD;GBSA;3;0.7971874209060997;0.7584925690021231;0.03869485190397659;25;DKK1, SEMA4B, CCR6, HMMR, CHEK1, SEMA3C, GPI, KRAS, SCG2, CDK1, BTK, CCL20, DDIT4, PPIA, AKR1A1, S100A10, PIM2, TNFRSF11A, FGFR2, IKBKB, MIF, MET, PSME3, RB1, EGFR;"n_estimators=100; learning_rate=0.01; max_depth=2; subsample=0.7";18;18;15;15
LUAD;GBSA;4;0.7441867782637425;0.7141304347826087;0.03005634348113373;22;DKK1, HMMR, CCR6, CDK1, CHEK1, AKR1A1, BTK, GPI, SEMA3C, PSME3, DDIT4, PIM2, KRAS, PIK3CA, PPIA, SEMA4B, IKBKB, FGFR2, CCL20, S100A10, MIF, AGRN;"n_estimators=100; learning_rate=0.01; max_depth=1; subsample=0.7";17;17;17;17
LUAD;GBSA;5;0.7530990089544629;0.6792695473251029;0.07382946162936;17;DKK1, CHEK1, HMMR, CDK1, CCR6, GPI, LTBR, BTK, MIF, CCL20, IKBKB, FGFR2, PPIA, SEMA4B, AKR1A1, S100A10, KRAS;"n_estimators=150; learning_rate=0.01; max_depth=1; subsample=0.7";17;17;16;16
LUAD;RSF;1;0.7942699122158269;0.7194637537239325;0.07480615849189443;19;DKK1, CHEK1, HMMR, CDK1, CCR6, BTK, DDIT4, PSME3, KRAS, AKR1A1, GPI, LTBR, SEMA3C, PIM2, S100A10, PPIA, MET, SEMA4B, PIK3CA;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";19;19;14;14
LUAD;RSF;2;0.8211350420686743;0.6612205670350793;0.15991447503359502;23;DKK1, HMMR, CHEK1, CDK1, GPI, S100A10, CCR6, SEMA3C, SEMA4B, DDIT4, IKBKB, PPIA, BTK, AKR1A1, PSME3, PIM2, FGFR2, MIF, MET, CCL20, RBM10, KRAS, AGRN;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";20;20;14;14
LUAD;RSF;3;0.8108706656542647;0.7308917197452229;0.07997894590904175;25;DKK1, SEMA4B, CCR6, HMMR, CHEK1, SEMA3C, GPI, KRAS, SCG2, CDK1, BTK, CCL20, DDIT4, PPIA, AKR1A1, S100A10, PIM2, TNFRSF11A, FGFR2, IKBKB, MIF, MET, PSME3, RB1, EGFR;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";18;18;15;15
LUAD;RSF;4;0.7971744123847582;0.7288043478260869;0.06837006455867123;22;DKK1, HMMR, CCR6, CDK1, CHEK1, AKR1A1, BTK, GPI, SEMA3C, PSME3, DDIT4, PIM2, KRAS, PIK3CA, PPIA, SEMA4B, IKBKB, FGFR2, CCL20, S100A10, MIF, AGRN;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";17;17;17;17
LUAD;RSF;5;0.8086103055989293;0.6893004115226338;0.11930989407629555;17;DKK1, CHEK1, HMMR, CDK1, CCR6, GPI, LTBR, BTK, MIF, CCL20, IKBKB, FGFR2, PPIA, SEMA4B, AKR1A1, S100A10, KRAS;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";17;17;16;16
LUAD;Weibull AFT;1;0.7224026496028811;0.7537239324726912;-0.03132128286981006;19;DKK1, CHEK1, HMMR, CDK1, CCR6, BTK, DDIT4, PSME3, KRAS, AKR1A1, GPI, LTBR, SEMA3C, PIM2, S100A10, PPIA, MET, SEMA4B, PIK3CA;penalizer=10.0;19;19;14;14
LUAD;Weibull AFT;2;0.748497547347562;0.6472849591542528;0.10121258819330925;23;DKK1, HMMR, CHEK1, CDK1, GPI, S100A10, CCR6, SEMA3C, SEMA4B, DDIT4, IKBKB, PPIA, BTK, AKR1A1, PSME3, PIM2, FGFR2, MIF, MET, CCL20, RBM10, KRAS, AGRN;penalizer=10.0;20;20;14;14
LUAD;Weibull AFT;3;0.738104277398127;0.7409766454352441;-0.002872368037117101;25;DKK1, SEMA4B, CCR6, HMMR, CHEK1, SEMA3C, GPI, KRAS, SCG2, CDK1, BTK, CCL20, DDIT4, PPIA, AKR1A1, S100A10, PIM2, TNFRSF11A, FGFR2, IKBKB, MIF, MET, PSME3, RB1, EGFR;penalizer=10.0;18;18;15;15
LUAD;Weibull AFT;4;0.7386803436015229;0.7038043478260869;0.034875995775435986;22;DKK1, HMMR, CCR6, CDK1, CHEK1, AKR1A1, BTK, GPI, SEMA3C, PSME3, DDIT4, PIM2, KRAS, PIK3CA, PPIA, SEMA4B, IKBKB, FGFR2, CCL20, S100A10, MIF, AGRN;penalizer=10.0;17;17;17;17
LUAD;Weibull AFT;5;0.7285300022306491;0.6877572016460906;0.040772800584558566;17;DKK1, CHEK1, HMMR, CDK1, CCR6, GPI, LTBR, BTK, MIF, CCL20, IKBKB, FGFR2, PPIA, SEMA4B, AKR1A1, S100A10, KRAS;penalizer=10.0;17;17;16;16
