modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
Weibull AFT;5;3;penalizer=10.0;0.7006764374295378;12
RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6304985337243402;15
RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7053237410071942;15
RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6561230412071968;14
RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6302052785923754;15
RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.7084892086330935;15
RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6639582124201974;14
RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.647800586510264;15
RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7082014388489208;15
RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6877539175856066;14
RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6381231671554253;15
RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7139568345323741;15
RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.687463726059199;14
RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6325513196480939;15
RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.703884892086331;15
RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.659024956471271;14
RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6343108504398827;15
RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7087769784172662;15
RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6706326175275682;14
RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.647800586510264;15
RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7082014388489208;15
RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6877539175856066;14
RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6381231671554253;15
RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7139568345323741;15
RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.687463726059199;14
RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6387096774193548;15
RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7099280575539568;15
RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6723737666860128;14
RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6366568914956011;15
RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.7142446043165468;15
RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6729541497388276;14
RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6589442815249267;15
RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7128057553956835;15
RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6979106210098666;14
RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6410557184750734;15
RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7133812949640288;15
RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7005223447475334;14
RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.646041055718475;15
RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.704748201438849;15
RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.671213000580383;14
RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6378299120234604;15
RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.717410071942446;15
RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.677887405687754;14
RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6589442815249267;15
RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7128057553956835;15
RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6979106210098666;14
RSF;1;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6410557184750734;15
RSF;1;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7133812949640288;15
RSF;1;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7005223447475334;14
RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7055144968732234;20
