modelo;c_index_treino_medio;c_index_teste_medio;dp_teste;gap_medio
Weibull AFT;0.7352429640361484;0.7067094173068731;0.04267171104418094;0.028533546729275328
CoxPH;0.739729970209821;0.7051045208963638;0.039690457148355264;0.034625449313457235
GBSA;0.7893635561729522;0.7017006905651434;0.03894569819025341;0.08766286560780882
RSF;0.8102067617854741;0.6897131058400519;0.03589137542839798;0.12049365594542223
DeepHit;0.5990942517505117;0.6373450375079317;0.08987924701928578;-0.038250785757419956
DeepSurv;0.6006153141921443;0.542011251372522;0.12269625806755871;0.058604062819622105
