coorte;modelo_1;modelo_2;dif_media_cindex;ic95_inf;ic95_sup;n_folds;interpretacao
LUAD;CoxPH;DeepHit;0.12535932746199813;0.04738342684191947;0.20333522808207677;5;diferenca com IC 95% sem zero
LUAD;CoxPH;DeepSurv;0.18620201667178113;0.015828821879285887;0.3565752114642764;5;diferenca com IC 95% sem zero
LUAD;CoxPH;GBSA;0.004217360748147714;-0.047743062354011406;0.056177783850306834;5;empate tecnico
LUAD;CoxPH;RSF;-0.0008316390742273194;-0.029480534401709505;0.027817256253254864;5;empate tecnico
LUAD;CoxPH;Weibull AFT;-0.00160489641050936;-0.009724423038079971;0.0065146302170612505;5;empate tecnico
LUAD;DeepHit;DeepSurv;0.060842689209783016;-0.10772168683137857;0.22940706525094462;5;empate tecnico
LUAD;DeepHit;GBSA;-0.12114196671385043;-0.19416780589029348;-0.04811612753740738;5;diferenca com IC 95% sem zero
LUAD;DeepHit;RSF;-0.12619096653622547;-0.19481943816437491;-0.05756249490807604;5;diferenca com IC 95% sem zero
LUAD;DeepHit;Weibull AFT;-0.1269642238725075;-0.20559214482946475;-0.04833630291555026;5;diferenca com IC 95% sem zero
LUAD;DeepSurv;GBSA;-0.18198465592363341;-0.37705692075134684;0.013087608904080006;5;empate tecnico
LUAD;DeepSurv;RSF;-0.18703365574600847;-0.3760713633192893;0.0020040518272723684;5;empate tecnico
LUAD;DeepSurv;Weibull AFT;-0.18780691308229053;-0.3606585766921221;-0.014955249472458937;5;diferenca com IC 95% sem zero
LUAD;GBSA;RSF;-0.005048999822375033;-0.036176377096760914;0.026078377452010852;5;empate tecnico
LUAD;GBSA;Weibull AFT;-0.0058222571586570735;-0.05450294899914738;0.042858434681833237;5;empate tecnico
LUAD;RSF;Weibull AFT;-0.0007732573362820405;-0.02918307910087034;0.02763656442830626;5;empate tecnico
