modelo;c_index_treino_medio;c_index_teste_medio;dp_teste;gap_medio
CoxPH;0.7096331662580785;0.6144158019431913;0.08145781095804774;0.09521736431488712
Weibull AFT;0.7097712160582992;0.6123047515617548;0.07754925956412136;0.09746646449654443
RSF;0.8067594794979988;0.598791551189893;0.0641950843428725;0.2079679283081058
GBSA;0.6652219045502116;0.5585457315566538;0.0633275878021551;0.10667617299355778
DeepSurv;0.3918567600844252;0.41963395249119684;0.06050870664444005;-0.027777192406771577
DeepHit;0.36836781390086;0.40490021627429157;0.08412977297362585;-0.03653240237343155
