coorte;modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
LUSC;Weibull AFT;4;3;penalizer=1.0;0.6070304302203567;9
LUSC;Weibull AFT;4;1;penalizer=10.0;0.6492633755492375;8
LUSC;Weibull AFT;4;2;penalizer=10.0;0.5904645476772616;4
LUSC;Weibull AFT;4;3;penalizer=10.0;0.6125393494228751;9
LUSC;Weibull AFT;5;1;penalizer=0.1;0.5726310726310726;9
LUSC;Weibull AFT;5;2;penalizer=0.1;0.562484892434131;2
LUSC;Weibull AFT;5;3;penalizer=0.1;0.5046130189646335;4
LUSC;Weibull AFT;5;1;penalizer=1.0;0.5865800865800865;9
LUSC;Weibull AFT;5;2;penalizer=1.0;0.5634517766497462;2
LUSC;Weibull AFT;5;3;penalizer=1.0;0.5340850845720143;4
LUSC;Weibull AFT;5;1;penalizer=10.0;0.5851370851370852;9
LUSC;Weibull AFT;5;2;penalizer=10.0;0.5634517766497462;2
LUSC;Weibull AFT;5;3;penalizer=10.0;0.5486929779600205;4
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5432405566600398;13
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6615769712140175;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5545673076923077;9
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.569831013916501;13
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6683354192740926;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5764423076923076;9
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5564115308151093;13
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.644055068836045;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.5896634615384615;9
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5750497017892644;13
