gene;n;coef;HR;se;z;p;ci95_inf;ci95_sup;status;q_value;efeito
ZFP42;494;0.23367939119230471;1.2632394215918537;0.06566763049556583;3.558517178537206;0.00037295440217886025;1.110680844233255;1.4367528210728655;ok;0.01640999369586985;alto_risco
ALDH7A1;494;0.2319189946094205;1.2610175754696704;0.07023830906600272;3.301887498337794;0.0009603658064135425;1.0988392973794663;1.447131832139298;ok;0.021128047741097934;alto_risco
HKDC1;494;0.21683539673517824;1.242139625071778;0.06919673036930195;3.1336075502112726;0.001726716266603702;1.0846011300871878;1.4225606127198367;ok;0.025325171910187634;alto_risco
NRTN;494;-0.1962977867985946;0.8217674867295788;0.06849456439763084;-2.865888534731442;0.004158406356035241;0.7185322666255455;0.9398350409749573;ok;0.042976229567183596;protetor
OTX2;494;-0.21422132185251014;0.8071697209543478;0.0761105104525926;-2.814608922981057;0.004883662450816318;0.6953116051354231;0.9370229888491867;ok;0.042976229567183596;protetor
GCGR;494;-0.21189981225933674;0.8090457499719863;0.07854487348035058;-2.697818493683707;0.006979548404248776;0.6936103472468742;0.9436927060644907;ok;0.05118335496449103;protetor
F13A1;494;0.18407587426218633;1.2021070286200473;0.06994102907071353;2.6318725461713943;0.008491571180365514;1.0481156954652493;1.3787230880234738;ok;0.05337559027658323;alto_risco
ACVRL1;494;0.173695427298459;1.1896931625735663;0.06966595411571415;2.4932612996292765;0.012657565896605386;1.0378514536679522;1.3637499047403407;ok;0.06961661243132962;alto_risco
MDH1;494;-0.18241194769915464;0.833258010983279;0.07505336242752718;-2.4304300540204946;0.015080916633430076;0.7192733339811254;0.9653060666447981;ok;0.07372892576343593;protetor
SEMA3B;494;0.15143842536686608;1.1635066571083896;0.06418203632260809;2.3595141887625335;0.018298881079653807;1.0259755804354012;1.3194736472782709;ok;0.08051507675047676;alto_risco
ZNF71;494;0.1602642549376512;1.173821018010993;0.0690570685781676;2.3207509127938684;0.020300291176455192;1.0252278572551163;1.3439507837929336;ok;0.08120116470582077;alto_risco
FGF4;494;0.1354962825138838;1.1451049389148111;0.061290797006736945;2.210711707648219;0.02705580727448582;1.015487230938161;1.2912671682889372;ok;0.09653706041328669;alto_risco
