gene;presente_na_base
CALCB;True
GCGR;True
HTR3A;True
AMH;True
VGF;True
SEMA3B;True
NRTN;True
ENG;True
ACVRL1;True
NR4A1;True
FGF4;True
FGL1;True
LIM2;True
NPY;True
F13A1;True
CDH12;True
CD1E;True
OTX2;True
ADRA1D;True
SAMD9L;True
ZFP42;True
GAGE2A;True
KLRC2;True
HKDC1;True
ALDH7A1;True
MDH1;True
ABCC4;True
CCL19;True
SLC39A8;True
CD27;True
FUT7;True
DAG1;True
ZNF71;True
TP53;True
CDKN2A;True
PTEN;True
PIK3CA;True
KEAP1;True
NFE2L2;True
NOTCH1;True
RB1;True
SOX2;True
TP63;True
FGFR1;True
