gene;presente_na_base
TP53;True
KRAS;True
EGFR;True
BRAF;True
PIK3CA;True
MET;True
RIT1;True
STK11;True
KEAP1;True
NF1;True
RB1;True
CDKN2A;True
SETD2;True
ARID1A;True
SMARCA4;True
RBM10;True
U2AF1;True
BTK;True
CCR6;True
S100A10;True
SEMA3C;True
GPI;True
SCG2;True
TNFRSF11A;True
CCL20;True
DKK1;True
IKBKB;True
LTBR;True
MIF;True
PPARD;True
PPIA;True
PSME3;True
S100A6;True
SEMA4B;True
FGFR2;True
PIM2;True
CHEK1;True
CDK1;True
AGRN;True
AKR1A1;True
DDIT4;True
HMMR;True
